Membership No  Date Joined  Active  
    44764      2015-8-18    no    
    95435      2020-2-17    no    
    11357      2015-1-15    no    
    51538      2019-12-13   no    
    11170      2016-10-17   no    
    81072      2017-12-11   no    
    42277      2017-3-8     no    
    70691      2017-10-18   no    
    61588      2017-3-20    no    
    72417      2015-7-12    no    
    88945      2016-12-21   no    
    95254      2017-4-1     no    
    57434      2016-4-1     no    
    38138      2017-8-24    no    
    84811      2019-1-24    no    
    53801      2019-10-1    no    
    58666      2016-9-15    no    
