Membership No  Date Joined  Active  
    29031      2020-2-10    yes   
    92407      2019-11-2    no    
    97448      2017-10-21   yes   
    61477      2019-12-7    yes   
    92530      2019-4-13    no    
    56993      2019-5-3     yes   
    30292      2019-3-15    no    
    95759      2015-7-1     yes   
    95961      2020-3-4     no    
    82191      2015-9-3     yes   
    91602      2017-4-2     yes   
    35068      2020-12-10   no    
    63703      2015-5-22    no    
    50074      2020-9-23    no    
    27226      2017-4-2     yes   
    25706      2020-7-19    yes   
    94653      2018-9-18    yes   
    62474      2015-11-20   yes   
    61107      2020-6-13    yes   
    29774      2019-5-1     no    
